1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
8162.978498,1471.982575,2057.130487,3365.138026,10037.64967,18381.10666,22716.20159,19998.25848,34256.91476,31778.72028,33054.14318,28474.15539,29215.93739,19066.70917,9135.996478,13210.50568,17437.80653,11015.5983,18734.57475,12623.31932,27588.46001,29971.02727,13658.40422,10125.26411,15959.89787,22867.97001,9480.170875,1939.985411,15450.74112,15073.90258,4312.792447,3266.27171,4869.706896,8091.842514,17162.32521,9863.504683
8519.618667,2915.181718,3380.82773,3043.076407,10167.45207,18472.20782,23336.03002,20311.12502,35393.58409,32755.39949,33877.02625,29685.47522,30385.56941,20503.85168,10516.59362,14586.9224,18885.86266,12467.91471,20096.45529,13980.34127,28356.1477,30515.97162,14071.36558,11290.53298,16864.45429,23879.38649,10910.58905,1225.062189,15534.9152,14764.71079,3142.045743,3960.416016,4603.700097,8815.228473,17226.81095,10705.00885
5063.42491,3243.169352,1941.362028,6668.2472,13086.20576,21390.97479,25022.74373,22770.26767,35217.95788,33245.52859,34895.12974,29192.73803,30089.9895,18430.76181,9418.442038,13320.15517,16024.25469,9914.229011,16505.74613,10443.03773,24303.02865,26678.35856,16369.13706,7296.161237,12739.08031,19747.88098,7993.388002,5119.369398,18483.46042,18335.49622,7273.758024,6115.871431,3396.424426,4788.878223,14234.7441,6596.872423
5262.277746,3788.117824,2905.762226,6207.296402,13119.40856,21462.91694,25695.01901,23087.34476,36552.70954,34377.03962,35848.27679,30602.58058,31449.45234,20134.78514,10875.58305,14857.69106,17792.49517,11652.11524,18214.36618,12177.64417,25203.11518,27266.72351,16735.19339,8869.118415,13872.65632,20997.84187,9755.333086,4443.33931,18529.63368,17982.45947,6223.417108,6331.574916,1958.713213,5722.100693,14096.18163,7702.924589
6102.606108,3943.425111,3404.729747,5598.460814,12679.07121,21003.39588,25586.74683,22764.68224,36915.73745,34577.73672,35915.36827,31037.26347,31838.69848,20901.26352,11409.49404,15443.05252,18708.22511,12488.78416,19254.38779,13197.71982,26176.64179,28131.67885,16466.11235,9946.265877,14916.24298,22057.99234,10651.71589,3782.680894,18065.7837,17307.99747,5299.691061,6121.049209,2065.257714,6754.857924,14670.99331,8754.581923
7426.07856,3250.413976,3221.321562,4217.057175,11330.27291,19642.04087,24396.61686,21454.08304,36139.0418,33633.03987,34849.37201,30351.66488,31097.75177,20724.67485,10933.4368,15004.52373,18839.29585,12490.26621,19747.56981,13641.86138,27390.53887,29448.54795,15189.24563,10685.63415,16001.12257,23082.42997,10794.84648,2398.112027,16704.53573,15920.8787,4032.347478,4944.770093,3429.8699,7880.842083,16059.27887,9826.994092
6985.396272,1366.276515,0,5212.937033,11230.39306,19504.38608,23099.31914,20836.47117,33647.06784,31506.02553,33058.64863,27706.49298,28545.37496,17560.92043,8016.266139,12039.73525,15623.1387,9270.098148,16716.31971,10600.55684,25783.35984,28366.33794,14433.28729,8089.239702,14069.98589,20892.15546,7591.175868,3988.934366,16608.47139,16632.6725,6369.37213,4260.055867,4852.603654,6458.355682,16169.79467,8069.491602
7628.624483,2038.432162,2190.130378,3810.485451,10672.70558,19015.3122,23442.96484,20682.15476,34954.90402,32504.78557,33788.87806,29150.19085,29905.51653,19559.22674,9724.846953,13797.21586,17782.75418,11395.06983,18888.5908,12772.34532,27260.98903,29534.42562,14356.61275,10063.89471,15708.04075,22689.37961,9769.948185,2155.102976,16081.13528,15582.12479,4348.560225,3982.121936,4157.454676,7724.384589,16546.32485,9567.104487
12802.38233,5549.708711,6742.677405,1534.274572,6436.764106,14499.0369,20271.16021,16651.18577,33871.11367,30624.49344,31244.88246,28576.61413,29062.97584,21340.77736,11135.58248,14911.40151,20666.39598,14277.40366,22752.01875,16749.26707,32439.37998,34758.83594,10735.32444,14773.5037,20792.04149,27630.05101,13215.84658,3103.046249,11585.22388,10486.708,2362.376534,3633.42448,8816.913146,12930.10816,21480.72405,14713.60635
11487.12864,6158.095901,6899.494439,3283.101819,9424.132655,17243.08526,23330.90802,19575.94018,36811.63734,33666.58616,34320.36253,31404.19266,31949.06361,23354.58913,13156.79075,17128.6479,22131.74974,15680.95769,23595.65354,17485.12206,31605.9774,33482.16536,13781.19716,14847.21103,20276.8621,27356.48915,14279.32026,3055.600526,14377.07197,12723.75814,829.9580871,5636.450069,7075.079519,12142.61773,19545.7223,14102.49153
8722.888739,4436.83003,4725.209451,3789.759423,10926.41588,19112.90975,24421.53017,21146.3959,36834.9559,34095.89999,35105.80189,31169.2391,31847.25544,22031.6965,12058.93386,16128.94305,20329.23426,13935.29475,21359.18774,15248.23757,28834.41789,30735.30922,15027.85404,12319.65621,17545.99998,24659.69306,12314.06726,2191.564073,16188.96625,15030.9561,2725.500843,5295.870014,4372.485193,9394.639894,16984.54988,11374.62224
14681.12827,6864.362051,8187.323402,3265.723558,4246.033351,12296.29124,18169.69852,14441.86873,32244.98522,28782.17956,29237.03509,27145.81992,27539.34799,20910.26552,10906.3583,14364.34606,20744.33869,14521.98764,23294.73967,17452.05535,33963.98283,36497.54575,8610.050783,15944.10076,22212.57805,28865.66111,13761.10802,5072.131127,9376.319747,8532.259182,4540.83135,4244.704338,10890.3831,14587.65175,23521.89549,16256.76108
